שוק,קטגוריה,סקטור,טיקר,דמי ניהול,מספר קרן,תיאור
תעודות סל אמריקאיות,עבור סקטורים,טכנולוגיה,XLK,0.08%,,"סקטור הטכנולוגיה – תוכנה, חומרה, שבבים ושירותי IT"
תעודות סל אמריקאיות,עבור סקטורים,אנרגיה,XLE,0.08%,,"סקטור האנרגיה – חברות נפט, גז ואנרגיה מתחדשת בארה""ב"
תעודות סל אמריקאיות,עבור סקטורים,חומרי גלם,XLB,0.08%,,"סקטור חומרי הגלם – מתכות, כימיה, ניירות ומינרלים"
תעודות סל אמריקאיות,עבור סקטורים,תעשייה,XLI,0.08%,,"סקטור התעשייה – תעופה, ביטחון, ציוד תעשייתי ותחבורה"
תעודות סל אמריקאיות,עבור סקטורים,שירותים ציבוריים,XLU,0.08%,,"סקטור השירותים הציבוריים – ספקי חשמל, מים וגז, מניות דפנסיביות ויציבות"
תעודות סל אמריקאיות,עבור סקטורים,בריאות,XLV,0.08%,,"סקטור הבריאות – תרופות, מכשור רפואי, ביוטכנולוגיה וביטוח רפואי"
תעודות סל אמריקאיות,עבור סקטורים,מוצרי צריכה בסיסיים,XLP,0.08%,,"סקטור מוצרי הצריכה הבסיסיים – מזון, משקאות, טבק ומוצרי ניקיון"
תעודות סל אמריקאיות,עבור סקטורים,שירותי תקשורת,XLC,0.08%,,"סקטור שירותי התקשורת – מדיה, מוסיקה, רשתות חברתיות ותקשורת"
תעודות סל אמריקאיות,עבור סקטורים,"נדל""ן",XLRE,0.08%,,"סקטור הנדל""ן – REITs אמריקאיים: נדל""ן מסחרי, מגורים ותשתיות"
תעודות סל אמריקאיות,סקטורים במשקל שווה,פיננסים,RSPF,0.40%,,"סקטור הפיננסים במשקל שווה – כל מניה זוכה למשקל זהה, חשיפה רחבה יותר לחברות קטנות"
תעודות סל אמריקאיות,סקטורים במשקל שווה,צרכנות דיסקרציונרית,RSPD,0.40%,,סקטור הצרכנות הדיסקרציונרית במשקל שווה – ביצועים שוויוניים לכל המניות בסקטור
תעודות סל אמריקאיות,סקטורים במשקל שווה,טכנולוגיה,RSPT,0.40%,,סקטור הטכנולוגיה במשקל שווה – מפחית תלות בענקיות כמו אפל ומיקרוסופט
תעודות סל אמריקאיות,סקטורים במשקל שווה,אנרגיה,RSPG,0.40%,,סקטור האנרגיה במשקל שווה – חשיפה שוויונית לכל חברות הנפט והגז בסקטור
תעודות סל אמריקאיות,סקטורים במשקל שווה,חומרי גלם,RSPM,0.40%,,"סקטור חומרי הגלם במשקל שווה – משקל זהה לכל המניות, כולל חברות קטנות"
תעודות סל אמריקאיות,סקטורים במשקל שווה,תעשייה,RSPN,0.40%,,סקטור התעשייה במשקל שווה – חשיפה רחבה ושוויונית לכלל חברות התעשייה
תעודות סל אמריקאיות,סקטורים במשקל שווה,שירותים ציבוריים,RSPU,0.40%,,סקטור השירותים הציבוריים במשקל שווה – חשיפה דפנסיבית עם פיזור שוויוני
תעודות סל אמריקאיות,סקטורים במשקל שווה,בריאות,RSPH,0.40%,,סקטור הבריאות במשקל שווה – מפחית ריכוזיות בחברות ביג-פארמה
תעודות סל אמריקאיות,סקטורים במשקל שווה,מוצרי צריכה בסיסיים,RSPS,0.40%,,סקטור מוצרי הצריכה הבסיסיים במשקל שווה – פיזור שוויוני בין כל חברות המזון והניקיון
תעודות סל אמריקאיות,סקטורים במשקל שווה,שירותי תקשורת,RSPC,0.40%,,סקטור שירותי התקשורת במשקל שווה – חשיפה שוויונית לחברות מדיה ותקשורת
תעודות סל אמריקאיות,סקטורים במשקל שווה,"נדל""ן",RSPR,0.40%,,"סקטור הנדל""ן במשקל שווה – פיזור שוויוני בין כל ה-REITs בסקטור"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,פנאי ובידור,PEJ,0.57%,,"ענף הפנאי, הבידור, מסעדות ומלונאות בארה""ב – מרוויח מהוצאות שיקול הדעת של הצרכן"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,שבבים,SOXX,0.35%,,"מניות חברות ייצור ועיצוב שבבים אמריקאיות – NVIDIA, Intel, Broadcom ואחרות"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,שבבים (מרוכז),SMH,0.35%,,"חשיפה מרוכזת יותר לחברות השבבים הגדולות בעולם – TSMC, NVIDIA, ASML ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,תוכנה,IGV,0.41%,,"מניות חברות תוכנה מובילות בארה""ב – Microsoft, Salesforce, Adobe ואחרות"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,אנרגיה סולארית,TAN,0.71%,,"חברות אנרגיה סולארית גלובליות – ייצור פאנלים, מערכות ושירותים לאנרגיית שמש"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,אבטחת סייבר,CIBR,0.59%,,"מניות חברות אבטחת סייבר מובילות – CrowdStrike, Palo Alto Networks, Fortinet ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,בנקים אזוריים,KRE,0.35%,,בנקים אזוריים אמריקאיים קטנים ובינוניים – חשיפה לכלכלה המקומית האמריקאית
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,GLP-1 וירידה במשקל,OZEM,0.59%,,"חברות בתחום תרופות GLP-1 ורזון – Novo Nordisk, Eli Lilly ועוד 26 חברות פארמה"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,קנאביס,MSOS,0.77%,,"חברות קנאביס אמריקאיות – מפעילות מדינתיות, לא קנדיות – כפוף לרגולציה אמריקאית"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,ביוטכנולוגיה,XBI,0.35%,,מניות חברות ביוטכנולוגיה אמריקאיות במשקל שווה – תנודתי אך עם פוטנציאל גבוה
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,בנייה למגורים,XHB,0.35%,,"חברות בנייה ומגורים בארה""ב – קבלנים, יצרני בניית בתים ומוצרים לבית"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,בנייה ושיפוץ,ITB,0.39%,,"חברות בנייה ומוצרים לבית בארה""ב – מרוויחות משוק הנדל""ן הפרטי ושיפוצים"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,תעופה וביטחון (שווה),XAR,0.35%,,"חברות תעופה וביטחון אמריקאיות במשקל שווה – Raytheon, Boeing, Northrop Grumman"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,תעופה אזרחית,JETS,0.60%,,"חברות תעופה גלובליות – חברות טיסה, שדות תעופה ויצרני מטוסים כמו Boeing ו-Airbus"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,מתכות וכרייה,XME,0.35%,,"חברות כרייה ומתכות אמריקאיות – פחם, פלדה, זהב, ומתכות תעשייתיות"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,ביטוח,KIE,0.35%,,"חברות ביטוח אמריקאיות במשקל שווה – ביטוח חיים, רכוש ורפואה"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,מכשור רפואי,IHI,0.40%,,"חברות מכשור רפואי אמריקאיות – Abbott, Medtronic, Boston Scientific ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,קמעונאות,XRT,0.35%,,חברות קמעונאות אמריקאיות במשקל שווה – כולל מסחר אלקטרוני ורשתות פיזיות
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,"""פרות מזומן"" 100",COWZ,0.49%,,100 חברות S&P 500 עם תזרים מזומנים חופשי גבוה ביחס למחיר – חברות איכות בהנחה
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,מחשוב ענן,SKYY,0.60%,,"חברות מחשוב ענן גלובליות – ספקי ענן, SaaS ותשתיות דיגיטליות"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,Magnificent 7,MAGS,0.29%,,"7 ענקיות הטק: אפל, מיקרוסופט, נבידיה, אלפאבית, אמזון, מטא וטסלה – משקל שווה"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,אורניום וגרעין,NLR,0.56%,,חברות כורים גרעיניים ואורניום – מרוויחות מהמעבר לאנרגיה גרעינית נקייה
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,בנקים גדולים,KBWB,0.35%,,"הבנקים הגדולים בארה""ב – JPMorgan, Bank of America, Wells Fargo ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,תעופה וביטחון,ITA,0.40%,,"חברות תעופה וביטחון אמריקאיות – Raytheon, L3Harris, General Dynamics ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,אנרגיה ירוקה,QCLN,0.59%,,"חברות אנרגיה ירוקה וטכנולוגיות נקיות גלובליות – חשמל, מים, ואנרגיה מתחדשת"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,כורי זהב (גדולים),GDX,0.51%,,"חברות כרייה זהב גדולות – Newmont, Barrick Gold ועוד. תנועה מוגברת ביחס לזהב"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,שירותי נפט,OIH,0.35%,,"חברות שירותים לתעשיית הנפט – קידוח, בניית צינורות וציוד לחיפוש נפט"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,"צרכנות ממוקדת ארה""ב",IEDI,0.18%,,"חברות צרכנות דיסקרציונרית עם הכנסות גבוהות מארה""ב – iShares, מנוהל אקטיבית"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,תחבורה,IYT,0.39%,,"חברות תחבורה אמריקאיות – רכבות, הובלה, תעופה ושילוח לוגיסטי"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,רובוטיקה ובינה מלאכותית,BOTZ,0.68%,,"חברות רובוטיקה, אוטומציה ובינה מלאכותית גלובליות – FANUC, Intuitive Surgical ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,תרופות,IHE,0.39%,,"חברות תרופות אמריקאיות – Johnson & Johnson, Pfizer, Merck ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,רכב חשמלי וניידות,DRIV,0.68%,,"חברות רכב חשמלי, טכנולוגיית ניידות ותשתיות טעינה גלובליות – Tesla, NXP ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,מדיה חברתית,SOCL,0.65%,,"חברות מדיה חברתית גלובליות – Meta, Snap, Pinterest, Tencent ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,פינטק,FINX,0.68%,,"חברות פינטק ותשלומים גלובליות – Visa, Square, PayPal, Adyen ועוד"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,סייבר גלובלי,BUG,0.51%,,"חברות אבטחת סייבר גלובליות – הגנה על רשתות, נקודות קצה וענן"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,כורי זהב (מרוכז),RING,0.39%,,"חברות כרייה זהב בפיזור מרוכז יותר – iShares, מינוף גבוה יותר לתנועות מחיר הזהב"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,אורניום,URA,0.69%,,"חברות כרייה ואנרגיה גרעינית – Cameco, Kazatomprom ועוד, ביקוש גובר עם מהפכת הגרעין"
תעודות סל אמריקאיות,תעשיות ותתי-סקטורים,אנרגיה נקייה,ICLN,0.41%,,"חברות אנרגיה נקייה גלובליות – רוח, שמש, מימן ואחסון אנרגיה"
תעודות סל אמריקאיות,ממונפות,ראסל 2000 × 3,TNA,1.03%,,ראסל 2000 ממונף פי 3 לעלייה – מגביר רווחים וגם הפסדים שלוש פעמים. לטווח קצר בלבד
תעודות סל אמריקאיות,ממונפות,שבבים × 3,SOXL,0.75%,,"מגזר השבבים ממונף פי 3 לעלייה – תנודתי מאוד, לא מתאים להחזקה ארוכת טווח"
תעודות סל אמריקאיות,ממונפות,"נאסד""ק × 3",TQQQ,0.84%,,"נאסד""ק 100 ממונף פי 3 לעלייה – כלי ספקולטיבי בסיכון גבוה מאוד"
תעודות סל אמריקאיות,ממונפות,"שורט נאסד""ק × 3",SQQQ,0.95%,,"נאסד""ק 100 ממונף פי 3 לירידה – כלי גידור לשוק יורד, מאבד ערך בשוק עולה"
תעודות סל אמריקאיות,ממונפות,שורט שבבים × 3,SOXS,0.97%,,מגזר השבבים ממונף פי 3 לירידה – גידור על ירידת ענף השבבים
תעודות סל אמריקאיות,ממונפות,"נאסד""ק × 2",QLD,0.95%,,"נאסד""ק 100 ממונף פי 2 לעלייה – ממונף פחות מ-TQQQ, מעט יותר מתון"
תעודות סל אמריקאיות,ממונפות,S&P 500 × 2,SSO,0.89%,,"S&P 500 ממונף פי 2 לעלייה – כפל תשואת המדד היומית, לטווח קצר"
תעודות סל אמריקאיות,ממונפות,S&P 500 × 3,SPXL,0.87%,,S&P 500 ממונף פי 3 לעלייה – שלוש פעמים תשואת המדד היומית
תעודות סל אמריקאיות,ממונפות,טכנולוגיה × 3,TECL,0.85%,,סקטור הטכנולוגיה ממונף פי 3 לעלייה – TECL עוקב אחרי XLK בכפולה של 3
תעודות סל אמריקאיות,ממונפות,פיננסים × 3,FAS,0.89%,,סקטור הפיננסים ממונף פי 3 לעלייה – עוקב אחרי Russell 1000 Financial בכפולה של 3
תעודות סל אמריקאיות,ממונפות,ראסל 2000 × 3,URTY,0.95%,,"ראסל 2000 ממונף פי 3 לעלייה – גרסת ProShares, חלופה ל-TNA"
תעודות סל אמריקאיות,ממונפות,דאו ג'ונס × 3,UDOW,0.95%,,דאו ג'ונס 30 ממונף פי 3 לעלייה – שלוש פעמים תשואת המדד התעשייתי היומית
תעודות סל אמריקאיות,שווקים בינלאומיים,יפן,ZJPN,0.58%,,"עוקב אחר מדד MSCI Japan – 306 חברות יפניות גדולות ובינוניות, כולל Toyota ו-Sony"
תעודות סל אמריקאיות,שווקים בינלאומיים,אירופה,VGK,0.06%,,"מניות חברות גדולות ובינוניות מאירופה – גרמניה, בריטניה, צרפת ועוד, Vanguard"
תעודות סל אמריקאיות,שווקים בינלאומיים,הודו,INDA,0.62%,,חברות הודיות גדולות ובינוניות – חשיפה לכלכלה ההודית הצומחת במהירות
תעודות סל אמריקאיות,שווקים בינלאומיים,סין,MCHI,0.59%,,"חברות סיניות גדולות ובינוניות – Alibaba, Tencent, Meituan ועוד"
תעודות סל אמריקאיות,שווקים בינלאומיים,"עולם מחוץ לארה""ב",VEU,0.04%,,"מניות חברות מכל העולם מחוץ לארה""ב – אירופה, אסיה, שווקים מתעוררים ועוד"
תעודות סל אמריקאיות,שווקים בינלאומיים,שווקים מפותחים,VEA,0.03%,,"שווקים מפותחים מחוץ לארה""ב – קנדה, אירופה, יפן, אוסטרליה ועוד"
תעודות סל אמריקאיות,שווקים בינלאומיים,אירופה חברות קטנות,DFE,0.58%,,חברות קטנות אירופאיות המחלקות דיבידנד – חשיפה ייחודית לצמיחה אירופאית בינונית
תעודות סל אמריקאיות,שווקים בינלאומיים,יורו STOXX 50,FEZ,0.29%,,"50 החברות הגדולות מגוש האירו – LVMH, SAP, Total ועוד, ייצוג גוש האירו"
תעודות סל אמריקאיות,שווקים בינלאומיים,טכנולוגיה סינית,KWEB,0.70%,,"חברות אינטרנט וטכנולוגיה סיניות – Alibaba, Tencent, Baidu, JD.com ועוד"
תעודות סל אמריקאיות,שווקים בינלאומיים,50 הגדולות בסין,FXI,0.74%,,50 החברות הסיניות הגדולות הנסחרות בהונג קונג – חשיפה לשוק הסיני הרחב
תעודות סל אמריקאיות,שווקים בינלאומיים,פיננסים אירופה,EUFN,0.48%,,"חברות פיננסיות אירופאיות – בנקים גדולים, ביטוח ושירותים פיננסיים באירופה"
תעודות סל אמריקאיות,"אג""ח ודיבידנד","שוק האג""ח הכולל",BND,0.03%,,"שוק האג""ח האמריקאי המלא – ממשלתי, תאגידי ומשכנתאות. יציב ובטוח יחסית"
תעודות סל אמריקאיות,"אג""ח ודיבידנד",הגדלת דיבידנד,VIG,0.05%,,חברות אמריקאיות עם היסטוריה עקבית של הגדלת דיבידנד – איכות גבוהה ויציבות
תעודות סל אמריקאיות,"אג""ח ודיבידנד",דיבידנד Schwab,SCHD,0.06%,,100 חברות אמריקאיות עם דיבידנד גבוה ויציב – מדיניות פיננסית חזקה ותשואה אטרקטיבית
תעודות סל אמריקאיות,ביטקוין ואיתריום,ביטקוין,IBIT,0.12%,,קרן ETF לביטקוין של BlackRock – חשיפה ישירה לביטקוין דרך חשבון ברוקר רגיל
תעודות סל אמריקאיות,ביטקוין ואיתריום,איתריום,ETHA,0.25%,,קרן ETF לאיתריום של BlackRock – חשיפה ישירה לאיתריום ללא ארנק דיגיטלי
תעודות סל איריות,עבור מדדים – עקיבה פיזית,S&P 500,CSPX,0.07%,,"iShares Core S&P 500 UCITS – עקיבה פיזית אחר S&P 500, פטור ממס דיבידנד אמריקאי לתושבי ישראל"
תעודות סל איריות,עבור מדדים – עקיבה פיזית,"נאסד""ק 100",EQQQ,0.30%,,"Invesco EQQQ NASDAQ-100 UCITS – עקיבה פיזית אחר נאסד""ק 100, נסחרת בלונדון ובאמסטרדם"
תעודות סל איריות,עבור מדדים – עקיבה פיזית,ראסל 2000,ZPRR,0.30%,,"SPDR Russell 2000 UCITS – עקיבה פיזית אחר חברות קטנות אמריקאיות, מבנה UCITS איריות"
תעודות סל איריות,עבור מדדים – עקיבה פיזית,דאו ג'ונס,CIND,0.33%,,iShares Dow Jones Industrial Avg UCITS – עקיבה פיזית אחר 30 חברות דאו ג'ונס
תעודות סל איריות,עבור מדדים – עקיבה פיזית,ביטקוין,BITC,0.98%,,ETC Group Physical Bitcoin UCITS – חשיפה פיזית לביטקוין דרך מבנה UCITS האירי
תעודות סל איריות,עבור מדדים – עקיבה פיזית,שוק המניות הגלובלי,VWRL,0.22%,,"Vanguard FTSE All-World UCITS – מעל 3,500 חברות מכל העולם, הגרסה האירית של VT"
תעודות סל איריות,עבור מדדים – עקיבה פיזית,S&P 500 משקל שווה,RSPU,0.40%,,"Invesco S&P 500 Equal Weight UCITS – כל 500 מניות ה-S&P 500 במשקל שווה, עקיבה פיזית"
תעודות סל איריות,עבור מדדים – עקיבה פיזית,ראסל 1000 ערך,XRV1,0.15%,,"SPDR Russell 1000 Value UCITS – חברות ערך גדולות אמריקאיות, מבנה UCITS פיזי"
תעודות סל איריות,עבור מדדים – עקיבה פיזית,"דיבידנד ארה""ב",UDVD,0.35%,,WisdomTree US Quality Dividend Growth UCITS – חברות אמריקאיות עם צמיחת דיבידנד
תעודות סל איריות,עבור מדדים – עקיבה פיזית,S&P 500 צמיחה,IUGF,0.18%,,"iShares S&P 500 Growth UCITS – חברות הצמיחה מתוך S&P 500, מבנה UCITS פיזי"
תעודות סל איריות,עבור מדדים – עקיבה פיזית,S&P 500 ערך,S5V0,0.25%,,"SPDR S&P 500 Value UCITS – חברות הערך מתוך S&P 500, מבנה UCITS פיזי"
תעודות סל איריות,עבור מדדים – עקיבה סינטטית,S&P 500,SPXP,0.05%,,"Invesco S&P 500 UCITS (Swap) – עקיבה סינטטית זולה במיוחד, אפס מס על דיבידנד"
תעודות סל איריות,עבור מדדים – עקיבה סינטטית,"נאסד""ק 100",ANXG,0.23%,,"Amundi NASDAQ-100 UCITS (Swap) – עקיבה סינטטית אחר נאסד""ק, יעילות מס גבוהה"
תעודות סל איריות,עבור מדדים – עקיבה סינטטית,ראסל 2000,R2US,0.30%,,Invesco Russell 2000 UCITS (Swap) – עקיבה סינטטית אחר חברות קטנות אמריקאיות
תעודות סל איריות,עבור מדדים – עקיבה סינטטית,דאו ג'ונס,DJIA,0.50%,,Amundi Dow Jones Industrial Average UCITS (Swap) – עקיבה סינטטית אחר מדד דאו
תעודות סל איריות,עבור מדדים – עקיבה סינטטית,S&P 500 משקל שווה,RSPU,0.40%,,"Invesco S&P 500 Equal Weight UCITS (Swap) – כל 500 מניות במשקל שווה, גרסה סינטטית"
תעודות סל איריות,עבור מדדים – עקיבה סינטטית,שווקים מתעוררים,LEM,0.55%,,db x-trackers MSCI Emerging Markets UCITS (Swap) – חשיפה לשווקים מתעוררים גלובליים
תעודות סל איריות,עבור מדדים – עקיבה סינטטית,מניות עולמיות,WLD,0.30%,,"Amundi MSCI World UCITS (Swap) – חשיפה למניות בכל העולם המפותח, גרסה סינטטית זולה"
תעודות סל איריות,תעשיות ותתי-סקטורים,אנרגיה ירוקה,INRG,0.65%,,"iShares Global Clean Energy UCITS – חברות אנרגיה נקייה גלובליות, גרסה איריות לICLN"
תעודות סל איריות,תעשיות ותתי-סקטורים,פנאי ובידור,XCDU,0.12%,,"SPDR MSCI USA Consumer Discretionary UCITS – צרכנות דיסקרציונרית אמריקאית, פיזי"
תעודות סל איריות,תעשיות ותתי-סקטורים,שבבים,SMH,0.35%,,"VanEck Semiconductor UCITS – חשיפה לחברות שבבים גדולות, גרסה אירית לSMH האמריקאי"
תעודות סל איריות,תעשיות ותתי-סקטורים,מחשוב ענן,WCLD,0.40%,,"WisdomTree Cloud Computing UCITS – חברות SaaS ומחשוב ענן, גרסה אירית ל-SKYY"
תעודות סל איריות,תעשיות ותתי-סקטורים,טכנולוגיה,XIT6,0.15%,,"iShares S&P 500 IT Sector UCITS – סקטור הטכנולוגיה מתוך S&P 500, מבנה UCITS"
תעודות סל איריות,תעשיות ותתי-סקטורים,אורניום,URNU,0.69%,,"Sprott Uranium Miners UCITS – חברות כרייה ואנרגיה גרעינית, גרסה אירית ל-URA"
תעודות סל איריות,תעשיות ותתי-סקטורים,אנרגיה סולארית,ISUN,0.69%,,"Invesco Solar Energy UCITS – חברות אנרגיה סולארית גלובליות, מבנה UCITS פיזי"
תעודות סל איריות,תעשיות ותתי-סקטורים,אבטחת סייבר,ISPY,0.75%,,"ETFS ISE Cyber Security GO UCITS – חברות אבטחת סייבר גלובליות, מבנה UCITS"
תעודות סל איריות,תעשיות ותתי-סקטורים,בנקים אזוריים,WFIN,0.25%,,"WisdomTree US Financials UCITS – חברות פיננסיות ובנקים אמריקאיים, מבנה UCITS"
תעודות סל איריות,תעשיות ותתי-סקטורים,קנאביס,FLWR,0.65%,,"ETFS Cannabis UCITS – חברות קנאביס גלובליות, מבנה UCITS איריות"
תעודות סל איריות,תעשיות ותתי-סקטורים,ביוטכנולוגיה,2B77,0.45%,,"BNP Paribas Easy MSCI Biotechnology UCITS – חברות ביוטכנולוגיה, גרסה אירית"
תעודות סל איריות,תעשיות ותתי-סקטורים,כורי זהב,GDX,0.53%,,"VanEck Gold Miners UCITS – חברות כרייה זהב גדולות, הגרסה האירית הנסחרת בלונדון"
תעודות סל איריות,תעשיות ותתי-סקטורים,"נדל""ן גלובלי",IWDP,0.59%,,"iShares Developed Markets Property Yield UCITS – נדל""ן מניב בשווקים מפותחים"
תעודות סל איריות,תעשיות ותתי-סקטורים,בנייה ושיפוץ,IUSP,0.40%,,"iShares S&P 500 Consumer Staples UCITS – מוצרי צריכה בסיסיים, מבנה UCITS"
תעודות סל איריות,תעשיות ותתי-סקטורים,תעופה וביטחון,DFEN,0.49%,,"Invesco Defence Innovation UCITS – חברות ביטחון, תעופה וטכנולוגיות הגנה"
תעודות סל איריות,תעשיות ותתי-סקטורים,תעופה אזרחית,JETS,0.65%,,"HANetf Airlines, Hotels & Cruise Lines UCITS – חברות תיירות ותעופה, מבנה UCITS"
תעודות סל איריות,תעשיות ותתי-סקטורים,מתכות וכרייה,IMMP,0.55%,,iShares MSCI World Metals & Mining UCITS – חברות מתכות וכרייה גלובליות
